category,titles,date,descriptions,urls
national,Stage set for by-election to Telangana MLC seat,"Sunday, 26 May, 2024","The stage is set for the by-election to the Telangana Legislative Council from the Warangal-Khammam-Nalgonda graduates' constituency on Monday. A total of 4.63 lakh graduates are eligible to cast their votes in this constituency spread over 34 assembly segments in the undivided districts of Warangal, Khammam and Nalgonda.",https://www.siasat.com/stage-set-for-by-election-to-telangana-mlc-seat-3032759/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,"Telangana bans gutka, pan masala with tobacco and nicotine","Sunday, 26 May, 2024","The Commissioner of Food Safety, Telangana has issued a notification prohibiting the manufacture, storage, distribution, transportation and sale of Gutka and Pan masala which contains tobacco and nicotine. The department said that the order is in effect for a period of one year from Friday, May 24.",https://www.siasat.com/telangana-food-safety-dept-bans-gutka-pan-masala-with-tobacco-nicotine-3032818/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Claim that paracetamol tablets contain 'Machupo' virus fake: Govt,"Sunday, 26 May, 2024","A viral post claiming that P-500 Paracetamol tablets contains 'Machupo' virus is a hoax, government's Press Information Bureau (PIB) said. The fake viral post claimed that the white colour tablets looks very shiny and doctors advice that it contains 'Machupo' virus. Paracetamol is a pain reliever usually prescribed to treat mild to moderate pain and reduce fever.",https://x.com/PIBFactCheck/status/1794372234955698223?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"Who is Payal Kapadia, the first Indian to win Cannes Grand Prix award?","Sunday, 26 May, 2024","Payal Kapadia is the first Indian to win Cannes Film Festival's second-most prestigious award- Grand Prix- for 'All We Imagine as Light'. In 2015, the 38-year-old FTII alumna held a 139-day protest against the appointment of Gajendra Chauhan as Chairman, was booked and denied scholarship. FTII, however, supported her after her short film 'Afternoon Clouds' was selected at Cannes.",https://indianexpress.com/article/entertainment/bollywood/when-all-we-imagine-as-light-director-payal-kapadia-protested-against-ftii-chairman-gajendra-chauhan-9352762/lite/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,11-year-old girl who lost mother in accident gets ₹1 crore compensation in Mumbai,"Sunday, 26 May, 2024","An 11-year-old girl, who lost her mother in an accident in Mazgaon in 2015 when their scooter was hit by a trailer, has been given ₹1.1 crore compensation by a Motor Accident Claims Tribunal in Mumbai. The girl's father and grandfather, who initially filed the claim, died while the case was still active. The girl's mother was a school teacher.",https://www.timesnownews.com/business-economy/personal-finance/11-year-old-girl-awarded-rs-1-1-crore-compensation-for-mothers-death-heres-how-article-110437469/amp?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,Policeman seen in underwear in front of women praying near temple; UP Police responds,"Sunday, 26 May, 2024","A policeman was seen sitting in his underwear in front of women attending a religious event near a temple on Saturday in Uttar Pradesh's Unnao. A video of the incident showed him sitting at a police post. Reacting to the video, Unnao Police said, ""Area Officer of Bighapur was directed to investigate and take necessary action.""",https://www.freepressjournal.in/india/shocking-video-shows-underwear-clad-unnao-cop-sitting-at-police-post-in-front-of-women-praying-near-temple?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"Telangana bans gutka, pan masala for one year","Sunday, 26 May, 2024","The Telangana government has imposed a one-year ban on Gutka and Pan Masala from May 24. The order from the Commissioner of Food Safety prohibits the manufacture, storage, distribution, transportation, and sale of these products containing tobacco and nicotine in any form. This public health measure targets smokeless tobacco products.",https://www.deccanchronicle.com/southern-states/telangana/telangana-bans-gutka-and-pan-masala-for-one-year-895815?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,Why was other AAP MP who was in London given red carpet?: Maliwal,"Sunday, 26 May, 2024","AAP MP Swati Maliwal denied claims of party leadership being upset over her absence during Delhi CM Arvind Kejriwal's arrest. She said she was in US for a Harvard University seminar and then her sister got COVID-19. ""If that's...reason why I was beaten...[and] other Rajya Sabha MP who was in London...given red carpet reception?"" she added without naming Raghav Chadha.",https://www.hindustantimes.com/india-news/swati-maliwal-reveals-why-she-was-in-us-during-arvind-kejriwals-arrest-101716667080247-amp.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts
national,"IMD issues red alert for heavy rainfall in Assam, Meghalaya","Sunday, 26 May, 2024","IMD issued a red alert for Assam and Meghalaya, predicting extremely heavy rainfall (>204.4 mm) on May 27-28, 2024, and heavy to very heavy rainfall (115.5-204.4 mm) on May 29, 2024. Residents are advised to take precautions, avoid travel, and stay updated with weather alerts to ensure safety during this period.",https://www.refersms.com/imd-issues-red-alert-for-assam-and-meghalaya-extremely-heavy-rainfall-expected-2024-5-26/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
national,SpiceJet flight makes emergency landing after bird hit its engine,"Sunday, 26 May, 2024","A SpiceJet flight bound for Leh (SG123) encountered a bird strike shortly after takeoff from Delhi on Sunday. The Boeing 737 aircraft safely returned to Delhi after the incident, which involved engine damage. The flight crew detected a bird strike on engine number two and opted to return to Delhi for inspection, said a source. The aircraft landed safely.",https://newskarnataka.com/india/spicejet-flight-makes-emergency-landing-after-bird-hit/26052024/?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle
